3221197.00,3698007.00,3368188.00,5090361.00,1981.00,25278867.00,19.98,19.92,70.16,NORMAL
3295273.00,1316062.00,3373813.00,5148301.00,1957.00,25881662.00,19.98,19.92,70.16,NORMAL
3265055.00,1286059.00,3374052.00,5152320.00,1958.00,25939968.00,19.98,19.92,70.31,NORMAL
3253279.00,1334170.00,3374081.00,5156186.00,1911.00,25921152.00,19.98,19.92,70.25,NORMAL
3233457.00,800212.00,3368414.00,5124322.00,1962.00,25979996.00,19.98,19.92,70.19,NORMAL
3291254.00,3698054.00,3374174.00,2714276.00,1878.00,26185792.00,28.96,28.90,70.31,FALHA_INJ
3606513.00,146162.00,3368414.00,4552370.00,1919.00,26479724.00,28.96,28.90,70.19,FALHA_INJ
3590571.00,3686108.00,3368172.00,4516297.00,1900.00,26358930.00,28.99,28.93,70.25,FALHA_INJ
3582985.00,296165.00,3368108.00,4454347.00,2020.00,26485654.00,28.99,28.93,70.25,FALHA_INJ
3580730.00,194073.00,3374271.00,4472242.00,1961.00,26179170.00,28.96,28.90,70.25,FALHA_INJ
3599317.00,290049.00,3374167.00,4474409.00,2037.00,26199857.00,28.96,28.90,70.31,FALHA_INJ
3615460.00,3679947.00,3374307.00,4508230.00,1922.00,26299037.00,28.99,28.93,70.16,FALHA_INJ
3617003.00,517684.00,3374111.00,4504240.00,1983.00,26484957.00,28.99,28.93,70.19,FALHA_INJ
3587369.00,283966.00,3368208.00,4454366.00,2036.00,26181043.00,28.99,28.93,70.16,FALHA_INJ
3583453.00,3685858.00,3373950.00,4458109.00,1843.00,25999112.00,28.96,28.90,70.25,FALHA_INJ
3591100.00,530369.00,3374216.00,4452446.00,1945.00,26379604.00,28.96,28.90,70.28,FALHA_INJ
3603132.00,140019.00,3374176.00,4454194.00,1961.00,26280082.00,28.96,28.93,70.31,FALHA_INJ
3609018.00,3691902.00,3374001.00,4450166.00,1949.00,25960806.00,28.99,28.96,70.25,FALHA_INJ
3611254.00,656037.00,3368014.00,4474399.00,1979.00,26361948.00,28.99,28.93,70.16,FALHA_INJ
3627352.00,655911.00,3368323.00,4504396.00,1982.00,26439974.00,28.99,28.93,70.19,FALHA_INJ
3603140.00,578293.00,3368225.00,4496367.00,1994.00,26301701.00,28.96,28.90,70.16,FALHA_INJ
3578335.00,373870.00,3374114.00,4454173.00,1969.00,25879304.00,28.99,28.93,70.25,FALHA_INJ
3603203.00,3685961.00,3374233.00,4460200.00,1970.00,26079781.00,28.99,28.93,70.25,FALHA_INJ
3606946.00,824032.00,3374066.00,4460263.00,1990.00,26345788.00,28.99,28.93,70.25,FALHA_INJ
3626947.00,404188.00,3374238.00,4492091.00,1960.00,26366128.00,28.96,28.90,70.19,FALHA_INJ
3633070.00,691975.00,3368293.00,4542388.00,1887.00,26239671.00,28.96,28.93,70.19,FALHA_INJ
3599176.00,386306.00,3374187.00,4432053.00,1988.00,26459825.00,28.99,28.93,70.22,FALHA_INJ
3609530.00,415964.00,3374193.00,4492384.00,1917.00,26440917.00,28.96,28.93,70.31,FALHA_INJ
3596680.00,854039.00,3374607.00,4448342.00,1954.00,26400821.00,28.99,28.90,70.25,FALHA_INJ
3606415.00,866158.00,3373899.00,4434424.00,2002.00,26339717.00,28.96,28.90,70.33,FALHA_INJ
3609217.00,547905.00,3373871.00,4460203.00,1913.00,25941688.00,28.96,28.93,70.31,FALHA_INJ
3627473.00,860140.00,3374198.00,4459963.00,1953.00,26279607.00,28.99,28.93,70.28,FALHA_INJ
3627209.00,212096.00,3374252.00,4474298.00,1908.00,26259364.00,28.99,28.96,70.25,FALHA_INJ
3641008.00,986297.00,3373903.00,4478201.00,1929.00,26467486.00,28.99,28.93,70.16,FALHA_INJ
3916969.00,722173.00,3374176.00,4816309.00,2019.00,26481280.00,24.99,24.94,70.19,FALHA_INJ
3601252.00,1388033.00,3374126.00,5162077.00,1979.00,21559892.00,23.92,23.86,70.16,FALHA_INJ
3601291.00,3686002.00,3374227.00,4534244.00,1737.00,21959881.00,31.28,31.26,70.19,FALHA_INJ
3601432.00,97998.00,3368229.00,5132232.00,1885.00,21899326.00,23.66,23.63,70.14,FALHA_INJ
3601421.00,176127.00,3368212.00,4570148.00,1941.00,21881771.00,29.95,29.92,70.31,FALHA_INJ
3600902.00,218051.00,3368001.00,5144146.00,1930.00,21881816.00,23.58,23.52,70.25,FALHA_INJ
3600831.00,152136.00,3367892.00,5158232.00,1982.00,21799718.00,23.38,23.32,70.28,FALHA_INJ
